Country,Total medals,Population,GDP,GDP (in $B),Population (in M),Total medals per 1M capita,Total medals per $1B GDP,Per capita GDP (in $),Total medals per capita GDP
Azerbaijan,7,"10,023,318","$39,207,000,000 ",39.207,10.023318,0.6983715372494418,0.17853954650955187,3911.5789801341234,1.7895586502410283
Croatia,7,"4,067,500","$60,415,553,039 ",60.415553039,4.0675,1.720958819913952,0.11586420462759475,14853.239837492318,0.47127765232274166
Cuba,9,"11,333,483","$100,023,000,000 ",100.023,11.333483,0.7941071601730907,0.08997930475990523,8825.442275777006,1.0197789208482049
Bahrain,4,"1,501,635","$38,574,069,149 ",38.574069149,1.501635,2.663763164817016,0.10369660469444397,25688.046129052665,0.1557144509903414
Slovenia,3,"2,087,946","$53,742,159,517 ",53.742159517,2.087946,1.436818768301479,0.05582209622691147,25739.247814359183,0.1165535225285949
Chinese Taipei,7,"23,196,178","$791,610,000,000 ",791.61,23.196178,0.30177385257174694,0.008842738217051326,34126.74277633152,0.20511772969012515
Austria,5,"8,877,067","$446,314,739,528 ",446.314739528,8.877067,0.5632491001814,0.01120285654309277,50277.27508736839,0.0994485081244229
Hong Kong,4,"7,346,000","$359,800,000,000 ",359.8,7.346,0.5445140212360469,0.011117287381878822,48979.036210182414,0.08166759310728182
Philippines,4,"108,116,615","$376,795,508,680 ",376.79550868,108.116615,0.036997088745332994,0.010615837789608762,3485.084218369212,1.1477484472015813
Algeria,3,"43,053,054","$169,988,236,398 ",169.988236398,43.053054,0.06968146789307908,0.01764828004319066,3948.343278922791,0.75981235370661
Indonesia,3,"270,203,917","$1,119,190,780,753 ",1119.190780753,270.203917,0.011102725798012766,0.0026805081417679098,4142.022784788127,0.7242837994560806
Israel,7,"9,053,300","$395,098,666,122 ",395.098666122,9.0533,0.7731987231175372,0.017717093476186312,43641.39773585323,0.16039816236795754
Poland,10,"37,970,874","$592,164,400,688 ",592.164400688,37.970874,0.2633597530570405,0.016887202250560156,15595.227033436206,0.6412218288685362
Kazakhstan,7,"18,513,930","$180,161,741,180 ",180.16174118,18.51393,0.3780936840530347,0.0388539761780293,9731.14520687936,0.719339795181702
Jamaica,6,"2,948,279","$16,458,071,068 ",16.458071068,2.948279,2.0350855533007564,0.3645627713727649,5582.263777613991,1.0748327630201238
South Africa,6,"58,558,270","$351,431,649,241 ",351.431649241,58.55827,0.10246204336296137,0.017073021206139013,6001.400813941395,0.9997665855048139
Thailand,6,"69,625,582","$543,649,976,166 ",543.649976166,69.625582,0.08617522220496485,0.011036512945910511,7808.192916304815,0.7684236371095537
Ethiopia,4,"112,078,730","$96,107,662,398 ",96.107662398,112.07873,0.03568919811992873,0.04161999054180762,857.5013510413618,4.6647156825378095
Switzerland,8,"8,574,832","$703,082,435,360 ",703.08243536,8.574832,0.932962884870514,0.011378466588919623,81993.72714940654,0.09756843941759884
Ecuador,5,"17,373,662","$107,435,665,000 ",107.435665,17.373662,0.2877919462229667,0.04653948016238369,6183.823824821733,0.8085611979969594
Portugal,4,"10,269,417","$237,686,075,635 ",237.686075635,10.269417,0.38950604498775343,0.01682892020205069,23145.040817312216,0.17282319921458283
Greece,8,"10,716,322","$209,852,761,469 ",209.852761469,10.716322,0.7465247871424543,0.03812196677326918,19582.53601086268,0.4085272712156535
Argentina,3,"44,938,712","$449,663,446,954 ",449.663446954,44.938712,0.06675758753388392,0.006671656369495598,10006.148973606541,0.29981564415172823
Egypt,3,"100,388,073","$303,175,127,598 ",303.175127598,100.388073,0.02988402815541643,0.009895270841537828,3020.0313497202,0.993367171595071
Tunisia,3,"11,694,719","$38,797,709,924 ",38.797709924,11.694719,0.25652604393487355,0.07732415149957653,3317.541013512168,0.904284223700976
Botswana,2,"2,346,179","$18,340,510,789 ",18.340510789,2.346179,0.8524498770127941,0.10904821697766076,7817.183083217436,0.25584663666043106
Chile,2,"18,952,038","$282,318,159,745 ",282.318159745,18.952038,0.1055295477985006,0.007084205995839844,14896.453866597352,0.1342601412329846
Saint Lucia,2,"182,790","$2,122,450,630 ",2.12245063,0.18279,10.941517588489523,0.9423069595734248,11611.415449422833,0.17224428914042633
Uganda,2,"44,269,594","$34,387,229,486 ",34.387229486,44.269594,0.04517773530970264,0.05816112638019459,776.768575876255,2.574769451433904
Dominican Republic,3,"10,738,958","$88,941,298,258 ",88.941298258,10.738958,0.27935671226202763,0.03373011254341746,8282.11622189043,0.36222626193903334
Guatemala,2,"16,604,026","$76,710,385,880 ",76.71038588,16.604026,0.12045271429953193,0.026072088897175546,4619.987097105244,0.43290164192301417
